Tract,Total,Tot_White,Pct_White,Tot_Black,Pct_Black,Tot_Native,Pct_Native,Tot_Asian,Pct_Asian,Tot_Pac_Isl,Pct_Pac_Isl,Tot_Other,Pct_Other,Tot_Mixed,Pct_Mixed
428302,2603,1381,53.05416827,82,3.150211295,0,0,1060,40.72224357,11,0.42258932,17,0.6530925855,52,1.997694967
428400,1861,1212,65.1262762,131,7.039226222,24,1.289629232,408,21.92369694,25,1.343363783,10,0.5373455132,51,2.740462117
428500,1436,766,53.34261838,95,6.615598886,3,0.208913649,412,28.6908078,0,0,76,5.292479109,84,5.849582173
428600,1590,905,56.91823899,148,9.308176101,22,1.383647799,494,31.06918239,0,0,10,0.6289308176,11,0.6918238994
428700,1411,557,39.47554926,311,22.0411056,0,0,446,31.60878809,4,0.2834868887,57,4.039688164,36,2.551381999
430101,2256,982,43.52836879,90,3.989361702,19,0.8421985816,1056,46.80851064,12,0.5319148936,0,0,97,4.29964539
430102,908,648,71.36563877,23,2.533039648,0,0,206,22.68722467,0,0,5,0.550660793,26,2.863436123
430200,2493,1906,76.4540714,32,1.283594063,14,0.5615724027,441,17.68953069,0,0,43,1.724829523,57,2.286401925
430300,1323,997,75.3590325,77,5.82010582,0,0,194,14.66364324,0,0,43,3.250188964,12,0.9070294785
430400,732,582,79.50819672,6,0.8196721311,0,0,102,13.93442623,0,0,5,0.6830601093,37,5.054644809
430500,2049,1191,58.12591508,400,19.52171791,19,0.9272816008,313,15.27574427,0,0,68,3.318692045,58,2.830649097
430600,2233,1381,61.8450515,202,9.046126288,18,0.8060904613,547,24.49619346,0,0,0,0,85,3.806538289
430700,1399,961,68.6919228,24,1.715511079,7,0.5003573981,304,21.72980701,0,0,35,2.501786991,68,4.860614725
430800,2187,1560,71.33058985,66,3.017832647,13,0.5944215821,365,16.68952904,101,4.618198445,39,1.783264746,43,1.966163695
430900,1864,1180,63.30472103,269,14.43133047,21,1.126609442,233,12.5,2,0.1072961373,77,4.130901288,82,4.399141631
431000,1155,769,66.58008658,74,6.406926407,0,0,237,20.51948052,30,2.597402597,30,2.597402597,15,1.298701299
431100,1398,1008,72.10300429,141,10.08583691,0,0,135,9.656652361,8,0.5722460658,68,4.864091559,38,2.718168813
431200,2592,1711,66.01080247,401,15.47067901,17,0.6558641975,359,13.85030864,19,0.7330246914,48,1.851851852,37,1.427469136
432100,1512,905,59.85449735,179,11.83862434,15,0.9920634921,237,15.67460317,0,0,128,8.465608466,48,3.174603175
432200,1780,964,54.15730337,330,18.53932584,34,1.91011236,210,11.79775281,47,2.640449438,122,6.853932584,73,4.101123596
432300,1705,724,42.46334311,115,6.744868035,29,1.700879765,413,24.2228739,8,0.4692082111,234,13.72434018,182,10.6744868
432400,1869,922,49.33119315,196,10.48689139,27,1.444622793,529,28.30390583,32,1.712145532,111,5.939004815,52,2.78223649
432501,1476,770,52.16802168,112,7.588075881,5,0.3387533875,438,29.67479675,31,2.100271003,90,6.097560976,30,2.032520325
432502,1545,587,37.99352751,249,16.11650485,0,0,564,36.50485437,22,1.42394822,63,4.077669903,60,3.883495146
432600,3113,1211,38.9013813,666,21.39415355,42,1.349180854,577,18.53517507,69,2.216511404,307,9.861869579,241,7.741728236
432700,1068,684,64.04494382,62,5.805243446,0,0,180,16.85393258,12,1.123595506,72,6.741573034,58,5.43071161
432800,1412,788,55.80736544,167,11.82719547,28,1.983002833,334,23.65439093,0,0,54,3.824362606,41,2.90368272
433000,1391,692,49.74838246,104,7.476635514,12,0.8626887132,489,35.15456506,8,0.5751258088,58,4.169662114,28,2.012940331
433102,1348,483,35.83086053,88,6.528189911,33,2.448071217,523,38.79821958,10,0.7418397626,90,6.676557864,121,8.976261128
433103,1601,555,34.66583385,555,34.66583385,0,0,290,18.11367895,40,2.498438476,67,4.184884447,94,5.871330418
433104,1915,976,50.96605744,469,24.49086162,11,0.5744125326,233,12.16710183,19,0.9921671018,96,5.01305483,111,5.796344648
433200,2791,904,32.38982444,691,24.7581512,27,0.9673951989,953,34.14546757,25,0.8957362952,65,2.328914368,126,4.514510928
433300,2274,1058,46.52594547,112,4.925241865,26,1.143359719,875,38.47845207,5,0.219876869,159,6.992084433,39,1.715039578
433400,2290,790,34.49781659,165,7.205240175,35,1.528384279,1128,49.25764192,25,1.091703057,37,1.615720524,110,4.80349345
433500,1443,741,51.35135135,60,4.158004158,16,1.108801109,464,32.15523216,0,0,97,6.722106722,65,4.504504505
433600,2200,840,38.18181818,355,16.13636364,45,2.045454545,842,38.27272727,8,0.3636363636,72,3.272727273,38,1.727272727
433700,1051,596,56.70789724,141,13.41579448,7,0.6660323501,174,16.55566127,0,0,102,9.705042816,31,2.949571836
433800,2595,1118,43.08285164,382,14.72061657,0,0,761,29.3256262,7,0.2697495183,315,12.13872832,12,0.4624277457
433900,2428,879,36.20263591,997,41.06260297,65,2.677100494,269,11.07907743,8,0.3294892916,123,5.065897858,87,3.583196046
434000,1831,944,51.55652649,395,21.57291098,9,0.4915346805,205,11.19606772,8,0.436919716,209,11.41452758,61,3.331512835
435102,1575,991,62.92063492,107,6.793650794,6,0.380952381,291,18.47619048,4,0.253968254,72,4.571428571,104,6.603174603
435103,2299,1049,45.62853415,312,13.57111788,0,0,802,34.88473249,0,0,27,1.174423662,109,4.741191823
435104,2030,667,32.85714286,330,16.25615764,34,1.674876847,531,26.15763547,48,2.36453202,238,11.72413793,182,8.965517241
435200,1457,687,47.15168154,382,26.21825669,6,0.4118050789,246,16.88400824,0,0,79,5.422100206,57,3.91214825
435300,1613,836,51.82889027,420,26.03843769,0,0,196,12.15127092,35,2.169869808,106,6.571605704,20,1.239925604
435400,1727,949,54.9507817,363,21.01910828,9,0.521134916,258,14.93920093,21,1.215981471,48,2.779386219,79,4.574406485
435500,1483,853,57.51854349,251,16.92515172,26,1.753202967,131,8.833445718,30,2.0229265,150,10.1146325,42,2.8320971
