Tract,Pct_Married,Pct_Widowed,Pct_Divorced,Pct_Separated,Pct_Never_Married
195901,25.6,7.1,7,0.7,59.6
195902,32.2,2.5,5.4,1.5,58.3
195903,27.8,1.8,8,3.2,59.2
197200,38.2,8.1,5.4,5.1,43.2
197300,32.2,4.1,5.5,1.8,56.4
197410,38.8,4.2,7.7,1.3,48
197420,35.3,3,3.3,4.4,53.9
197500,31.8,2,8.2,3.1,54.9
197600,26.5,4.8,7.7,2.9,58.1
197700,35.2,3.6,5.8,1.2,54.2
199000,44.2,4.1,5.9,3,42.7
199110,33,7.5,8.1,2.4,49.1
199120,36.2,7.6,5.4,3.4,47.4
199201,34.5,5.5,7.4,2.6,50
199202,38.7,6.4,7.5,2.6,44.8
199300,34.6,4.4,7.6,2,51.3
199400,33.3,3.9,6.2,3.2,53.4
199700,33.7,7.1,5.5,1.9,51.7
199800,44.2,10.7,5.6,0.7,38.7
199900,33,7.4,10,5.3,44.3
201110,36.5,7.1,8.6,2.5,45.3
201120,33,5.3,14,3.4,44.3
201200,47,6.5,8.9,2.4,35.3
201301,35.2,3.3,10.7,2.4,48.3
201302,41.1,5.8,14.4,0.6,38.1
201401,37.9,4.3,7.1,5.7,45
201402,38.2,9.1,6.3,5.7,40.6
201501,38,5.6,8.7,4.3,43.4
201503,33.3,4.2,6.4,4.7,51.4
201504,44.8,5.8,6.2,1.9,41.4
201601,41.1,7.9,8,1.7,41.3
201602,36.3,7.5,5.6,4.3,46.4
201700,24.4,4.2,7,0.8,63.6
203100,26.9,4.3,6.2,5.3,57.3
203200,38.5,3.1,7.3,3.8,47.3
203300,20.4,2.8,2,0.4,74.4
203500,27.6,5,11.2,4.9,51.3
203600,34.9,5.4,6.3,3.6,49.8
203710,33.8,4.1,6.5,5.2,50.4
203720,39.8,3.4,4.6,3,49.2
203800,43.6,5.2,6.1,3.3,41.8
203900,36.9,6.7,4,5,47.4
204110,38.2,4.1,8,1.7,47.9
204120,39.2,3,7.3,4.9,45.5
204200,32.5,3.1,8.7,3.3,52.4
204300,33.9,6.4,4.2,3.5,52
204410,31,6.3,5.8,6.4,50.4
204420,23.5,4.3,6.7,6.9,58.6
204600,30.9,4.2,9.7,4.3,50.9
204700,42.1,4.5,5.5,2.6,45.2
204810,36.1,3.8,5.8,2,52.4
204820,38.8,4.5,5.4,2.6,48.7
204910,40.7,5.3,2.2,4.2,47.7
204920,41.9,5.4,4.6,0.7,47.4
205110,35.8,3.1,5.7,5.6,49.8
205120,33.9,6.1,5.5,3.7,50.8
206010,38.8,5.1,5.7,3.3,47.1
206020,10.3,0.7,9.4,4.9,74.7
206031,31.8,0.9,10.2,0.8,56.3
206032,33.5,10.1,6.9,2.2,47.3
206050,27.1,11.8,9,5.8,46.4
206200,14.2,11.5,15.9,7.1,51.3
206300,3.2,4,14.1,5.2,73.5
207101,38.7,7.2,4.7,5.6,43.8
207102,49.3,10.9,6,1.8,32
207103,49.8,12.9,3.3,3.7,30.3
207301,21.4,1.7,16.8,1.1,59
207302,19.7,2.3,7.8,6,64.3
207400,24.9,2.1,17.6,5.5,49.9
207501,30.7,2.2,8.2,0.6,58.3
207502,34.9,21.4,8.2,2.4,33.1
207710,27.3,5.4,8.8,2,56.3
207900,31.8,2.5,6.2,1.2,58.3
208000,23,3.1,4.9,3.6,65.5
208301,26.5,1.7,7,3.1,61.6
208302,27.4,3.3,7.7,4,57.5
208401,40.7,5.1,2.8,3.3,48.2
208402,32.7,4.1,4.4,2.9,55.8
208501,33.6,5.1,9.9,6.8,44.5
208502,31.4,4,7.1,5.4,52.1
208610,39.5,4.7,6.7,1.9,47.2
